CURSO NACIONAL AVANZADO DE LOS PROCESOS DE DONACIÓN DE ÓRGANOS Y TEJIDOS CON FINES DE TRASPLANTE HACIA UN MODELO MEXICANO.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
12:15-12:30 PM,13,Oxigenación por Membrana Extracorpórea (ECMO) y Perfusión Regional Normotérmica,Evaluar la integración de sistemas ECMO/PRN como estrategia avanzada de perfusión y rescate de órganos en protocolos de Donación en Asistolia.,Perf. Gilberto Díaz Pérez,15 min,MÉXICO
12:30-12:45 PM,14,"Preservación Avanzada, Triple Embalaje y Cadena de Custodia de Órganos y Tejidos","Aplicar técnicas de preservación hipotérmica estática, resguardo documental legal y empaque especializado para asegurar la viabilidad celular en el traslado.",Dra. Magdalena García Baysa,15 min,MÉXICO
12:45-13:00 PM,15,Logística y Transporte Biológico Seguro: Gestión de Rutas Críticas Críticas,Objetivo: Revisar los protocolos del traslado de órganos y tejidos seguro y oportuno. Revisión de la secuencia de procesos desde salida hasta destino final y vías (aérea y terrestre) utilizadas para el Traslado.,Dr. Victor Figueroa   (RED KAIROS),15 min,MÉXICO
13:00-13:15 PM,16,Dilemas Bioéticos en el Futuro de la Donación de Órganos y Tejidos en México: El Impacto de la DAC,"Debatir los desafíos éticos, legales y deontológicos que plantea la implementación masiva de la Donación en Asistolia Controlada en el entorno nacional.",Dr. Patricio Santillán,15 min,MÉXICO
13:15-14:15 PM,COMIDA,,,,,
14:15-15:50 PM,17,Perlas de la Comunicación de Malas Noticias y Entrevista Familiar,"Ejecutar herramientas de contención emocional, comunicación no verbal y destrezas dialécticas para conducir de forma efectiva la entrevista familiar de donación.","Dr. Juan Rodriguez, Dr Martínez Bernal y Dra Kenia Reyes",15 min,MÉXICO
15:50-16:00 PM,Q&A Y CIERRE PRIMER DÍA,,,,,
FASE 3: PRÁCTICA PRESENCIAL SIMULACIÓN CLÍNICA,,,,,,
"Objetivo de la Fase: Transferir el conocimiento teórico a la resolución de problemas clínicos complejos en tiempo real, mediante la inmersión en escenarios simulados de alta fidelidad y técnicas estructuradas de debriefing.",,,,,,
29 DE SEPTIEMBRE (CENTRO DE SIMULACIÓN ANAHUAC),,,,,,
09:00:00,HORARIO DE LLEGADA,,,,,
9:00-9:15 AM,BIENVENIDA AL CENTRO DE SIMULACIÓN Y REGLAS/COMPROMISOS,,,,,
HORARIO,Round,Escenario 1: Diagnóstico Muerte Encefálica                   ,Escenario 2: Comunicación de Malas Noticias                ,Escenario 3: Manejo ECMO                                                ,Escenario 4: Logística DAC                                                  ,
DOCENTES,,Dra Belén / Instructores Anáhuac,Dr Salvador y Equipo,"Dr. Juan Ignacio / Instructores
Anáhuac","Dr. Alonso / Dra. Laura / Instructores
Anáhuac",
9:15-10:15 AM,1,GRUPO A,GRUPO B,GRUPO C,GRUPO D,
10:15-10:30 AM,COFFEE BREAK,,,,,
10:30-11:30 AM,2,GRUPO D,GRUPO A,GRUPO B,GRUPO C,
11:30-12:30 PM,3,GRUPO C,GRUPO D,GRUPO A,GRUPO B,
12:30-13:45 PM,COMIDA,,,,,
13:45-14:45 PM,4,GRUPO B,GRUPO C,GRUPO D,GRUPO A,
14:45-15:00 pm,Q&A Y CIERRE DÍA 2,,,,,
30 DE SEPTIEMBRE,,,,,,
09:00:00,HORARIO DE LLEGADA,,,,,
HORARIO,Round,Escenario 5: Entrevista para Donación                                                                               ,"Taller:  Manejo, Preservación y Envió de Órganos: Embalaje de órganos y tejidos 
hígado, riñones, páncreas (20 min), corazón - pulmón (20 min), Tejido (20 min)",Escenario 7: Mantenimiento del Donante con Muerte Encefálica                                             ,Escenario 8: Logística de Donación en Asistolia No Controlada                                              ,
DOCENTES,,"Dr. Juan Ignacio / Instructores
Anáhuac","Dra. Alma Itzel Martínez Vera 
Coordinadora médica del Banco de Tejidos Musculoesquelético y Piel Novoinjertos.

Dra. Reyna Moreno Ruiz 
Coordinadora Hospitalaria de Donación y Trasplantes
Instituto Nacional de Cardiología Ignacio Chávez
Embajale de corazón -pulmón

Dr. Diego Osvaldo Guzmán Cárdenas 
Encargado de la División de cirugía IV
Coordinador Hospitalario de Donación y Trasplantes CMN “20 Noviembre”
Embalaje órganos abdominales (hígado-riñón-páncreas) ","Dra. Belén / Dra Laura / Instructores
Anáhuac",Dr. Alonso / Instructores Anáhuac,
9:00-10:00 AM,5,GRUPO A,GRUPO B,GRUPO C,GRUPO D,
10:00-10:15 AM,COFFEE BREAK,,,,,
10:15-11:15 AM,6,GRUPO D,GRUPO A,GRUPO B,GRUPO C,
11:15-12:15 PM,7,GRUPO C,GRUPO D,GRUPO A,GRUPO B,
12:15-13:30 PM,COMIDA,,,,,
13:30-14:30 PM,8,GRUPO B,GRUPO C,GRUPO D,GRUPO A,
14:30-14:45:00 PM,Q&A DEL CURSO,,,,,
14:45-15:00 PM,CLAUSURA Y ENTRGEA DE CONSTANCIAS,,,,,
FASE 4: FASE SIMULACIÓN CLÍNICA DAC,,,,,,
30 Septiembre UVM Hospital Veterinario - Universidad del Valle de México,,,,,,
16:00 - 16:15 PM,HORARIO DE LLEGADA,,,,,
16:15 - 16:30 PM,"BIENVENIDA A LA UVM CENTRO DE SIMULACIÓN:  ⁠Mtra. Gabriela Gioconda Reza Borja, Rectora del Campus, •⁠  ⁠Mtro. Nery Jair Guzmán Reyes, Director Academico en Educación Superior, Mtra. Carinthia Zapata Valdez, Directora de Ciencias de la Salud Dra Rosa Erro Cenatra",,,,,
16:30-18:30 PM,SIMULACIÓN DAC,,,,,
18:30-18:45 PM,DEBRIEFING Y CIERRE,,,,,
FASE 4: Fase Teórica Quirúrgica Experimental,,,,,,
"Objetivo de la Fase: Integrar y sistematizar los fundamentos anatómicos, criterios de selección avanzados, innovaciones tecnológicas y variantes de técnica quirúrgica compleja (Split, DAC, Robótica y Perfusión Dinámica), con el fin de unificar criterios clínicos y estandarizar la toma de decisiones críticas que los cirujanos y equipo multidisciplinario ejecutarán de forma práctica e inmediata en los modelos biológicos in vivo y ex situ.",,,,,,
1 OCTUBRE (UVM),,,,,,
8:30 - 8:45 AM,HORARIO DE LLEGADA,,,,,
8:45 - 9:00 AM,BIENVENIDA A LA UVM POR AUTORIDADES,,,,,
9:00-9:15 AM,1,De la Donación Convencional a la Vanguardia: Evolución y Perspectivas de la Procuración Multiorgánica en México,"Analizar la evolución histórica, los retos técnico-quirúrgicos actuales y las proyecciones futuras de la procuración multiorgánica en el país para identificar áreas de oportunidad en la optimización de los sistemas de donación nacionales.", Dra. Rosa Erro Aboytia,15 min,MEXICO
9:15-9:30 AM,2,Criterios de Excelencia: Protocolo y Selección del Donante Ideal para la Técnica Split,"Sistematizar los criterios morfológicos, antropométricos y clínico-metabólicos de selección del donante para la técnica de bipartición hepática, garantizando la seguridad del procedimiento y reduciendo el riesgo de disfunción primaria del injerto.", Dra. Rosa Erro Aboytia,15 min,MEXICO
9:30-9:45 AM,3,Bipartición Hepática In Situ y Ex Situ: Estrategias Quirúrgicas (Tips & Tricks) para Optimizar la Lista de Espera,"Evaluar las variantes técnicas, maniobras críticas y recomendaciones prácticas en los abordajes de bipartición hepática (in situ y ex situ), orientadas a maximizar la disponibilidad de injertos y reducir la mortalidad en lista de espera.",Dr. Francisco Hernández Oliveros,15 min,ESPAÑA
9:45-10:00 AM,4,Cirugía Hepática Extrema: Indicaciones y Técnica Quirúrgica en Trasplante de Monosegmento y Segmento III,Determinar las indicaciones clínicas precisas y dominar los pasos técnicos quirúrgicos de la segmentectomía lateral izquierda (segmento III y monosegmento) como solución terapéutica de alta especialidad en el trasplante hepático pediátrico.,Dr. Héctor Vilca Meléndez,15 min,INGLATERRA
10:00-10:15 AM,5,Imagenología Avanzada y Modelado 3D para la Planificación Quirúrgica del Injerto Hepático,Aplicar herramientas de imagen tridimensional y volumetría hepática para anticipar variantes anatómicas vasculares/biliares y planificar con precisión los planos de sección en cirugías de división hepática.,Dr. Francisco Sachiñas,15 min,MEXICO
10:15-10:30 AM,6,Prevención y Resolución Colectiva de Complicaciones Quirúrgicas Vasculares y Biliares Tempranas en Split,Identificar y resolver de manera oportuna las complicaciones técnicas vasculares y de la vía biliar derivadas de la partición hepática para salvaguardar la viabilidad y sobrevida del injerto.,Dr. Constantino Fondevila Campo,15 min,ESPAÑA
10:30-10:45 AM,7,Fisiopatología Hemodinámica Hepática: Manejo del Síndrome Small-for-Size y Large-for-Size,Analizar los cambios hemodinámicos y de presión portal asociados al desajuste volumétrico del injerto para establecer estrategias de manejo clínico y quirúrgico preventivo.,Dr. Héctor Vilca Meléndez,15 min,INGLATERRA
10:45-11:00 AM,COFFEE BREAK,,,,,
11:00-11:15 AM,8,Innovación Quirúrgica: Estado Actual de la Hepatectomía y Procuración Asistida por Robótica,"Evaluar la aplicabilidad, las ventajas ergonómicas y los límites técnicos de la cirugía asistida por plataforma robótica en la hepatectomía y la procuración abdominal.",Dr. Constantino Fondevila Campo,15 min,ESPAÑA
11:15-11:30 AM,9,Cirugía Multivisceral: Abordajes Técnicos Avanzados en el Trasplante de Intestino y Bloque Abdominal,"Describir los tiempos quirúrgicos, los retos de reconstrucción vascular y las complejidades inmunológicas del trasplante multivisceral y de intestino delgado.",Dr. Héctor Vilca Meléndez,15 min,SUECIA
11:30-11:45 AM,10,Perfusión Dinámica Ex Situ: Beneficios Clínicos del Uso de Máquinas de Perfusión Hipotérmica y Normotérmica,"Contrastar las modalidades de perfusión mecánica ex situ para optimizar la preservación celular, reducir el daño por isquemia-reperfusión y evaluar el metabolismo del injerto.",Dr. Francisco Hernández Oliveros,15 min,ESPAÑA
11:45-12:00 PM,11,Rescate de Órganos Marginales a través del soporte ECMO y Preservación Regional Normotérmica,"Implementar protocolos de asistencia circulatoria extracorpórea (ECMO) orientados al rescate, soporte metabólico y acondicionamiento normotérmico de órganos marginales.",Dr. Aczel Sánchez Cedillo,15 min,MEXICO
12:00-12:15 PM,12,Preservación Catiónica y Quirúrgica en la Procuración Cardio-Pulmonar Compleja,Analizar las técnicas de infusión de soluciones de preservación celular y protección tisular específica durante la extracción multiorgánica torácica compleja.,Dr. Edgar Hernández,15 min,MEXICO
12:15-12:30 PM,13,El Cambio de Paradigma Quirúrgico: Implementación y Futuro de la DAC en México,"Valorar el impacto clínico, operativo, legal y bioético de la Donación en Asistolia Controlada (DAC) como alternativa fundamental para incrementar el pool de órganos disponibles en el país.",Dr. Francisco Hernández Oliveros,15 min,ESPAÑA
12:30-12:45 PM,14,Validación y Score de Viabilidad Quirúrgica en Donantes de Asistolia Controlada,Aplicar escalas de puntuación pronóstica y criterios objetivos de validación histológica/funcional para certificar la aceptación segura de injertos provenientes de donantes en asistolia., Dra. Rosa Erro Aboytia,15 min,MEXICO
12:45-13:00 PM,15,Instrumentación Quirúrgica Avanzada en Donación en Asistolia: Gestión de Tiempos Críticos y Preservación Orgánica,"Sistematizar los protocolos de instrumentación quirúrgica, preparación de la mesa de banco (back-table) y manejo rápido de soluciones de preservación celular, optimizando la coordinación del equipo técnico para reducir al mínimo el tiempo de isquemia caliente funcional durante la procuración.",EEQ. Sulem Piña Ocampo,15 min,MEXICO
13:00-13:15 PM,16,Análisis de Video Clínico: Pasos Críticos en la Donación en Asistolia Controlada,"Analizar mediante la revisión de registros videográficos reales los puntos críticos, los tiempos de isquemia caliente funcional y las desviaciones técnicas más frecuentes en la DAC.", Dra. Rosa Erro Aboytia,15 min,MEXICO
13:15-13:25 PM,Q&A y Cierre,,,,,
13:25-14:20 PM,COMIDA,,,,,
FASE 5: PRACTICA PRESENCIAL EXPERIMENTAL QUIRÚRGICA,,,,,,
"Objetivo de la Fase: Perfeccionar destrezas psicomotrices, técnicas quirúrgicas de canulación y modelos de preservación dinámica mediante práctica in vivo y cirugía ex situ de alta especialidad.",,,,,,
1 OCTUBRE UVM Hospital Veterinario - Universidad del Valle de México,,,,,,
14:20-14:30 PM,Prácticas,VESTIDORES/PREPARACIÓN- Laboratorio Quirúrgico Experimental (Bloques Prácticos),,,,
14:30-17:30 HRS,1,A: Donación en Asistolia Controlada , B: Perfusión de Órganos Ex Situ ,C: Bipartición Hepática ,,
,,"Objetivo: Capacitar al personal en la estrategia DAC (Donación en Asistolia Controlada) para diversificar los mecanismos de procuración de órganos, con el propósito de incrementar a corto y mediano plazo la tasa de donación en México.",Objetivo: Optimizar los resultados de supervivencia en trasplantes e incrementar la tasa de rescate de órganos con criterios expandidos (marginales) mediante la implementación de tecnología de perfusión ex situ.,Objetivo: Desarrollar competencias y destrezas quirúrgicas avanzadas para la realización del trasplante hepático split (bipartición) y el implante exitoso de ambos segmentos.,,
17:30-18:00 PM,Debriefing y Cierre,,,,,
2 OCTUBRE UVM Hospital Veterinario - Universidad del Valle de México,,,,,,
8:45 - 9:00 AM,HORARIO DE LLEGADA,,,,,
9:00-9:15 AM,Prácticas,VESTIDORES/PREPARACIÓN- UVM Hospital Veterinario - Universidad del Valle de México,,,,
9:15-12:15 PM,2,A: Donación en Asistolia Controlada , B: Perfusión de Órganos Ex Situ ,C: Bipartición Hepática ,,
,,"Objetivo: Capacitar al personal en la estrategia DAC (Donación en Asistolia Controlada) para diversificar los mecanismos de procuración de órganos, con el propósito de incrementar a corto y mediano plazo la tasa de donación en México.",Objetivo: Optimizar los resultados de supervivencia en trasplantes e incrementar la tasa de rescate de órganos con criterios expandidos (marginales) mediante la implementación de tecnología de perfusión ex situ.,Objetivo: Desarrollar competencias y destrezas quirúrgicas avanzadas para la realización del trasplante hepático split (bipartición) y el implante exitoso de ambos segmentos.,,
12:15-12:30 PM,Debriefing ,,,,,
12:30-13:30 PM,COMIDA,,,,,
13:30-13:45 Pm,Prácticas,VESTIDORES/PREPARACIÓN- UVM Hospital Veterinario - Universidad del Valle de México,,,,
13:45-16:15 PM,3,A: Donación en Asistolia Controlada , B: Perfusión de Órganos Ex Situ ,C: Bipartición Hepática ,,
,,"Objetivo: Capacitar al personal en la estrategia DAC (Donación en Asistolia Controlada) para diversificar los mecanismos de procuración de órganos, con el propósito de incrementar a corto y mediano plazo la tasa de donación en México.",Objetivo: Optimizar los resultados de supervivencia en trasplantes e incrementar la tasa de rescate de órganos con criterios expandidos (marginales) mediante la implementación de tecnología de perfusión ex situ.,Objetivo: Desarrollar competencias y destrezas quirúrgicas avanzadas para la realización del trasplante hepático split (bipartición) y el implante exitoso de ambos segmentos.,,
16:15-16:30 PM,Debriefing y Clausura,,,,,
