Advanced Management in Heart Failure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
11,Heart Failure in Aortic Valve Disease – What Are the Limits of TAVI,"Evaluate the indications, benefits, and limitations of TAVI in patients with heart failure.
Discuss the current clinical evidence on the use of TAVI in patients with varying degrees of ventricular dysfunction.
Identify clinical scenarios where TAVI provides hemodynamic and symptomatic improvement.",,,,,
12,Right Heart Catheterization in Advanced Heart Failure,Identify the normal values and key hemodynamic indices used in right heart catheterization. Analyze the clinical utility of right heart catheterization in the evaluation and management of patients with advanced heart failure. Evaluate the role of the vasoreactivity test in the hemodynamics lab and its potential to optimize evaluation time before a prolonged ICU stay.,,,,,
13,Role of Cardiac Rehabilitation in Heart Failure,Analyze the importance of cardiac rehabilitation in improving functional capacity and quality of life in patients with advanced heart failure. Explore the different protocols and therapeutic approaches tailored to this population.,,,,,
MODULE 4: The Role of the Electrophysiologist in Advanced Heart Failure,,,,,,,
"Module Objectives:
Analyze the impact of cardiac resynchronization therapy in the management of advanced heart failure.
Evaluate the effectiveness of atrial fibrillation ablation and arrhythmic substrate modulation in the treatment of ventricular tachycardia.",,,,,,,
14,Cardiac Resynchronization Therapy: Until When Is It Still Useful?,"Understand the indications and contraindications of CRT therapy, as well as the technical and clinical aspects to consider. Identify the criteria and situations in which the procedure should be discontinued, opting instead for a management approach focused on advanced care.",,,,,
15,Atrial Fibrillation Ablation in Advanced Heart Failure,"Understand the indications and contraindications for atrial fibrillation (AF) ablation in the context of advanced heart failure, as well as the key technical and clinical aspects to consider in its application. Identify the circumstances in which the procedure should be discontinued, opting instead for a management approach focused on advanced care.Review the results of the CASTLE-AF Trial and its impact on clinical practice for atrial fibrillation in advanced heart failure",,,,,
16,Arrhythmogenic Substrate Modulation in Ventricular Tachycardia,"Understand the indications and contraindications for arrhythmogenic substrate modulation in ventricular tachycardia, as well as the essential technical and clinical aspects to consider during the procedure. Identify the criteria for discontinuing substrate modulation and opting for a management approach focused on advanced care.",Comprender el uso del PAINSED SCORE en la evaluación y toma de decisiones durante el manejo de pacientes con taquicardia ventricular.,,,,
17,Evaluation of Frailty in Patients with Advanced Management Options,"Understand the different types of frailty assessments, including their sensitivity and specificity in the context of patients with cardiovascular diseases.","Comprender el rol del evaluador de la fragilidad en pacientes con insuficiencia cardíaca, y cómo esta evaluación influye en las decisiones de manejo avanzado.",,,,
SEGUNDA EVALUACIÓN DE CONOCIMIENTOS,,,,,,,
SEGUNDA SESIÓN DE REVISIÓN DE EXAMEN Y Q&A,,,,,,,
MODULE 5: Worsening Heart Failure Trajectory,,,,,,,
"Objectives:
1. To identify effective strategies for managing clinical deterioration in patients with advanced heart failure.
2. To establish key criteria for medical optimization and the use of advanced support in the treatment of heart failure.
3. To address and manage critical situations, such as electrical storms, in the context of advanced heart failure.",,,,,,,
18,Managing Worsening in the Advanced Patient: Living the Heart Failure Trajectory,"To achieve hemodynamic and ventilatory stabilization in patients with advanced heart failure, optimizing available resources. Address adequate monitoring in advanced patients, determining when weaning or escalation in management is appropriate. To know the vasodilatation protocols applicable in patients who may benefit from weaning, with special emphasis on the Cleveland Protocol.",,,,,
19,Electrical storm in advanced heart failure,To know the clinical definition of electrical storm in advanced heart failure and strategies for its immediate management. Determine when it is appropriate to indicate arrhythmogenic substrate modulation and when to use mechanical circulatory support until transplantation.,,,,,
20,Mechanical Ventilation in the patient with worsening heart failure on its trajectory.,"To analyze the role of noninvasive mechanical ventilation in the management of patients with advanced heart failure, including the use of PS-CPAP, CPAP and CNAF. To explore the heart-lung relationship and its implication in the mechanical ventilation strategy. Address techniques for monitoring and optimizing mechanical ventilation in patients with heart failure to improve hemodynamic and respiratory stability.",,,,,
MODULE 6: Already in the ICU! Admission of the Patient with Low Cardiac Output and Need for Mechanical Circulatory Support.,,,,,,,
"Module Objectives:

1. apply mechanical circulatory support strategies in patients with refractory cardiogenic shock, optimizing perfusion and hemodynamic stability.
2. Differentiate the characteristics, indications and limitations of the different support devices: intra-aortic balloon counterpulsation (IABP), Centrimag and veno-arterial ECMO.
3. Evaluate clinical criteria for the selection of the most appropriate device and plan transitions between support systems according to the patient's evolution.",,,,,,,
21,Use of Intraaortic Counterpulsation Balloon (IABP),"Understand intra-aortic balloon counterpulsation function, including console interpretation and proper placement technique. To know the indications, contraindications, monitoring strategies and weaning criteria for IABP in patients with advanced heart failure. Identify when and how to use IABP in combination with veno-arterial ECMO (V-A ECMO) to improve ventricular unloading and systemic perfusion.",,,,,
22,Use of Centrimag in Advanced Heart Failure,"Understand the operation of the Centrimag system, including the console display and key variables for monitoring. To know the indications and contraindications for the use of Centrimag as a mechanical circulatory support.",,,,,
23,ECMO V-A in Patient INTERMACS I: “Shock and Burn Patient”.,Recognize the patient in INTERMACS stages 1 and 2 who requires immediate recovery of perfusion to avoid multiorgan deterioration. Understand fundamental hemodynamic principles and ventriculo-arterial coupling in the context of advanced heart failure. Identify in a timely manner when transition to a temporary left ventricular assist device (LVAD) should be considered.,,,,,
24,Left Ventricular Assist Device (LVAD) after ECMO bridging,"To know the clinical and functional criteria for reevaluating and readmitting the patient on mechanical support to the transplant waiting list. To analyze decision making after the use of ECMO as a bridge, including transition to left ventricular assist device (LVAD) as a bridge-to-transplant or destination therapy. To understand the reasons behind the higher mortality observed in patients who received ECMO prior to Centrimag compared to those who started directly on ventricular support. Identify hybrid circulatory support configurations that can be used as alternatives before considering biventricular support (BIVAD).",,,,,
25,Biventricular Support: Strategies and Decisions in the Critically Ill Patient.,To identify the clinical indications for the implementation of right ventricular support (RVAD) in the context of advanced heart failure or severe right ventricular dysfunction. To know the previous therapeutic strategies that can optimize the patient before making the decision to place an RVAD.,,,,,
26,Emergency Monitoring and Resolution in the ECMO Circuit,"Perform comprehensive and systematic monitoring of the ECMO circuit in the daily care of the critically ill patient. Identify the main emergencies associated with the ECMO circuit (such as gas embolism, coagulation, oxygenator leak or pump failure) and apply effective strategies for their immediate resolution. Recognize when it is necessary to perform partial or complete ECMO circuit replacement, and how to plan it safely and efficiently.",,,,,
S2,HARVI Simulation: ECMO V-A,To review the principles and implementation of ECMO V-A (Extracorporeal Membrane Oxygenation veno-arterial) in the context of cardiovascular support. To reinforce clinical decision making and teamwork in the management of patients with severe cardiac and/or respiratory failure using ECMO V-A.,,,,,
S3,HARVI Simulation - Left Ventricular Assist Device (LVAD) ,To understand the physiological principles of LVAD support and its interaction with native ventricular function.        Develop skills in clinical decision making during simulated critical situations.        ,,,,,
S4,"
HARVI Simulation - Right Ventricular Support (RVAD)",To understand the physiology of the right ventricle in the setting of failure and its support by RVAD.        Interpret the hemodynamic changes generated by right ventricular support through the HARVI simulator. Simulate critical clinical scenarios that require adjustments in RVAD support and develop real-time decision making skills.,,,,,
MODULE 7: Cardiac Transplantation.         ,,,,,,,
"Module Objectives:

1. Analyze the comprehensive logistics of cardiac transplantation, from donor selection to graft allocation.
2. To recognize the key aspects of cardiac transplant surgery and postoperative management, with emphasis on early rehabilitation.
3. Identify and manage critical postoperative complications, such as immune rejection and primary graft dysfunction, applying advanced monitoring and treatment strategies.",,,,,,,
2,History of Cardiac Transplantation,"Identify key historical milestones in the development of cardiac transplantation, from the earliest attempts to the most recent advances Analyze the evolution of surgical techniques and medical approaches in cardiac transplantation over the years.        Recognize the pioneers and key figures who contributed to the progress of this therapy, highlighting their innovations and achievements in the field.",,,,,
28,Database and Organization - Waiting List and Recipient Selection Criteria,"Understand the functioning and structure of key organizations in the management of cardiac transplantation, such as UNOS (United Network for Organ Sharing) and ISHLT (International Society for Heart and Lung Transplantation), and their impact on clinical practice.        To apply the stradification and prioritization systems used in Latin America, such as the UNOS criteria and other methodologies, in the management of the cardiac transplant waiting list.        To identify the medical and ethical criteria for the admission of patients on the waiting list for cardiac transplantation, as well as the main contraindications for the performance of this procedure.",,,,,
29,Surgical and Perioperative Factors in Cardiac Transplantation,"Obtain a detailed theoretical knowledge of the surgical techniques used in cardiac transplantation, including the different types of grafts and their selection.        Identify the surgical and clinical factors that increase the risk of complications during cardiac transplantation surgery, with emphasis on the prevention and management of these risks.        To analyze the most common surgical complications during the immediate postoperative period, as well as strategies for their effective management.",,,,,
30,Postoperative Management of Cardiac Transplantation,"Understand hemodynamic and ventilatory monitoring strategies in the postoperative cardiac transplant patient.        Identify clinical and pharmacological approaches to the management of hemodynamic instability in the early postoperative period, including optimization of cardiovascular support.        Analyze the principles of hemostasis in the postoperative patient and determine the clinical criteria for the indication of surgical reintervention in case of complications.",,,,,
31,APPLIED TRANSPLANT IMMUNOLOGY - Principles of Allosensitization.,"To understand the immunological basis of transplant rejection: To analyze the cellular and humoral mechanisms involved in the recognition of the graft as foreign, including the types of rejection (hyperacute, acute and chronic) and HLA antigens.        Evaluate immunosuppressive strategies and their clinical application: Know the main immunosuppressive drugs, their mechanisms of action, side effects and how they are combined to prevent rejection and minimize toxicity.        Apply immunological knowledge to the management of the transplanted patient: Integrate immunological criteria in the selection of donors and recipients, post-transplant immunological monitoring, and diagnosis of immunological complications such as opportunistic infections and graft versus host disease (in hematopoietic transplantation).",,,,,
32,Induction and Maintenance Therapy in Cardiac Transplantation,"Identify the clinical situations in which induction therapy in cardiac transplantation is indicated, as well as the risks and benefits associated with its use.        To know the recommended doses and therapeutic regimens for induction and maintenance of immunosuppression in cardiac transplantation, based on updated clinical practice guidelines.        Understand the approach to long-term maintenance of immunosuppressive therapy, and the key factors affecting adherence and monitoring of therapy.        Identify common and serious adverse effects of immunosuppressive drugs used in cardiac transplantation, and strategies for their management.",,,,,
33,"Post-transplant Complications: Rejection, Primary Graft Dysfunction and Others       ","To understand the pathophysiology, diagnosis and management strategies of cellular and humoral rejection in cardiac transplantation.        To analyze the pathophysiology, diagnostic criteria and treatment of primary graft dysfunction, including the Kobashigawa classification.        To know the pathophysiology, diagnosis and clinical approach of graft vasculopathy, as well as other frequent complications in post-transplant follow-up.",,,,,
34,"Post-transplant Complications: Rejection, Primary Graft Dysfunction and Others","To understand the pathophysiology, diagnosis and management strategies of cellular and humoral rejection in cardiac transplantation.        To analyze the pathophysiology, diagnostic criteria and treatment of primary graft dysfunction, including the Kobashigawa classification.        To know the pathophysiology, diagnosis and clinical approach of graft vasculopathy, as well as other frequent complications in post-transplant follow-up.",,,,,
35,Cardiac Rehabilitation in the Transplant Patient ,"To recognize the fundamental role of the occupational therapist in the functional recovery and adaptation of the transplant patient to daily life activities.        To understand the multidisciplinary integration of rehabilitative therapies (physical, occupational, psychological and nutritional) in the post-transplant cardiac rehabilitation process.        To identify the clinical, functional and psychosocial benefits of a structured cardiac rehabilitation program in the transplant patient.",,,,,
TERCERA EVALUACIÓN DE CONOCIMIENTOS,,,,,,,
TERCERA SESIÓN DE REVISIÓN DE EXAMEN Y Q&A,,,,,,,
MODULE 8: Long Ventricular Assist Device (LVAD),,,,,,,
"1. Understand the principles of biotechnology and bioenergetics that underpin the operation of long-duration ventricular assist devices.
2. Evaluate the clinical indications for LVAD implantation, as well as key aspects of postoperative management.
3. Identify and manage the most common complications associated with prolonged ventricular support, including thromboembolic events, infections, and device dysfunction",,,,,,,
35,LVAD Biotechnology and Bioenergetics.,"To understand the principle of operation of fully magnetolevitated centrifugal pumps, including their design and energy efficiency. To interpret the HQ (flow to pressure ratio) curve and its link to power consumed, as well as its clinical implication in different hemodynamic scenarios.        To analyze the meaning and clinical utility of key LVAD parameters: flow, pulsatility index (PI), revolutions per minute (RPM) and power.        Recognize the most frequent clinical scenarios where the use of long-duration ventricular assist is indicated.        To understand the pump-patient interaction, differentiating between parallel and serial circulation, and its impact on myocardial perfusion and recovery. To evaluate the clinical advantages of a flat HQ curve versus a deep curve, depending on the hemodynamic stability of the patient.",,,,,
36,Surgery and Surgical Factors Influencing LVAD Implantation,"To understand the critical role of the cardiovascular surgeon in candidate selection, planning, and implantation of long-duration ventricular assist devices (LVADs).        Identify surgical and clinical factors that may increase the risk of intraoperative complications during LVAD implantation.        To recognize the main surgical complications in the immediate postoperative period, as well as their prevention strategies, early diagnosis and effective management.",,,,,
37,Anesthesia and Hemodynamic Optimization in the LVAD PATIENT,"Understand the key aspects of pre-anesthetic evaluation in patients with LVAD, as well as the role of advanced monitoring during the surgical procedure.        Know anesthetic management during the transition from extracorporeal circulation (ECC) to LVAD function, including strategies to ensure hemodynamic stability.        Apply principles of hemodynamic optimization in the immediate postoperative period, prior to transfer of the patient to the intensive care unit, with emphasis on tissue perfusion and organ function.",,,,,
38,Immediate Postoperative Management in the LVAD Patient ,"Apply specific hemodynamic and ventilatory management strategies for the patient with an LVAD in the immediate postoperative period.        Recognize the principles of hemostasis in the postoperative period of LVAD implantation and establish criteria for coagulopathy correction or surgical reintervention.        Identify and address the most frequent clinical scenarios at this stage, such as low flow, pulmonary hypertension, right ventricular dysfunction, arrhythmias and incipient multiorgan failure.",,,,,
39,Right Ventricular Failure in LVAD Patients,"To understand right ventricular physiology and ventricular interdependence in the context of LVAD support.        To know the definition, classification and risk stratification tools for right ventricular failure in patients with left ventricular support.        To identify the therapeutic strategies available for the management of right ventricular dysfunction in this setting, including medical measures, inotropic support and adjunctive assist devices.",,,,,
40,Infections in LVAD Patients ,"Understand the definition and classification of LVAD-related and non-LVAD-related infections, highlighting the main infectious complications in these patients.        Acquire skills for the diagnosis and management of LVAD drive wire-associated infections, including strategies for their prevention and timely treatment.        Identify clinical criteria for readmission to the waiting list, indication for LVAD explant or palliative management in cases of device-dependent infections, assessing risk and therapeutic alternatives.",,,,,
41,Management and Follow-up of the LVAD Patient,"Understand clinical outpatient monitoring strategies for LVAD patients, including regular assessment of device function and the patient's overall condition.        Know imaging ambulatory monitoring techniques, such as echocardiography, and the importance of echocardiographic ramp testing to assess ventricular and device function.        To learn the principles of ambulatory hemodynamic monitoring in LVAD patients, including the use of hemodynamic ramp tests to assess perfusion and cardiovascular status.",,,,,
42,Myocardial Recovery in Patients with LVAD (CLINICAL PERSPECTIVE) ,"To understand the pathophysiology of myocardial remodeling and the differences between myocardial remission and myocardial recovery in patients with LVAD.        To know the biology and biophysics involved in the processes of myocardial remission and recovery, and how these affect long-term cardiac function.        Identify the clinical and hemodynamic criteria for LVAD explant in cases of myocardial recovery, including continuous monitoring and assessment of return to adequate ventricular function.",,,,,
43,Myocardial Recovery in Patients with LVAD (SURGICAL PERSPECTIVE),"To analyze the surgical and clinical criteria for the selection of patients with potential myocardial recovery: Identify preoperative and postoperative factors predictive of potential myocardial functional recovery in patients with left ventricular assist device (LVAD).        Describe surgical techniques and management strategies for LVAD during the recovery process: Explore surgical approaches for device implantation, deactivation, or explantation in retrieval cases, including management of intraoperative complications.        Evaluate clinical and surgical outcomes associated with myocardial recovery: Review current evidence on success rates, survival, relapse, and quality of life in patients who successfully dispense with the LVAD after functional recovery of the left ventricle.",,,,,
44,Role of Nursing in the Coordination of the LVAD Patient ,"Understand the fundamental role of the LVAD coordinator in pre-implant patient care, including initial assessment, education, and preparation for the procedure.        Recognize the role of the LVAD coordinator in post-implant management, encompassing ongoing monitoring, complication management, and emotional support of the patient.        Know the responsibilities of the LVAD coordinator in outpatient follow-up, ensuring long-term patient stability, self-care education and prevention of complications.",,,,,
S5,LVAD Management Mentoring Workshop,"To train in the early identification of complications associated with LVAD, providing strategies for appropriate management and rapid decision making.        To foster interdisciplinary collaboration to ensure comprehensive care in patients with LVAD, emphasizing joint work between physicians, nurses and other health professionals.",,,,,
"MODULE 9: Palliative Care and Ethics in Advanced Heart Failure                                                        
“Module Objectives:",,,,,,,
"1. identify palliative management strategies in patients with end-stage heart failure, with emphasis on symptom relief, pain control, and improvement of quality of life.
2. Address ethical issues related to withdrawal of mechanical circulatory support, considering respect for patient autonomy, family consensus and appropriate clinical decisions.
3 Integrate a multidisciplinary approach in the care of patients with advanced heart failure, promoting collaboration between physicians, nurses, psychologists, social workers and other professionals in decision making and comprehensive patient management.”        ",,,,,,,
45,Palliative Management in Advanced Heart Failure,"Recognize when not to escalate advanced supportive therapy, evaluating the clinical, prognostic and quality of life factors that guide the decision not to continue with invasive treatments.        Learn palliative management strategies in advanced heart failure, focusing on symptom relief, pain control and improvement of the patient's quality of life.        Know the ethical principles governing palliative care in these settings, including shared decision making, respect for patient autonomy, and the implications of withdrawal of advanced support.",,,,,
46,Ethics in Mechanical Circulatory Support ,"To understand the ethical dilemmas involved in making decisions about treatment escalation or palliation in patients with mechanical circulatory support (MCS), evaluating the balance between life prolongation and quality of life.        To learn ethical approach strategies in the context of the patient, family and medical team, considering effective communication, respect for the patient's values and shared decision making.        To learn the fundamental role of the multidisciplinary team in ethical decision making, ensuring a comprehensive and collaborative approach in the care of the patient with MCS.",,,,,
47,Comprehensive Therapy in Patients with Mechanical Circulatory Support ,"Understand the role of physical rehabilitation in the comprehensive management of the patient with mechanical circulatory support (MCS), focusing on improving the patient's mobility, strength and quality of life.        Know the role of the respiratory therapist in the care of the patient with MCS, including the management of pulmonary function and ventilation and breathing techniques.        Identify the role of the speech therapist in the patient with MCS, particularly in the evaluation and management of swallowing and communication, as well as prevention of related complications.        Understand the role of the occupational therapist in the rehabilitation of the patient with MCS, promoting autonomy in daily activities and the overall well-being of the patient.",,,,,
